record_id,manufacturer,aliases,official_home_url,support_url,downloads_url,manuals_url,security_url,firmware_or_bios_url_when_public,source_class,retrieved_at,claim_supported,limitations,crawl_allowed_note,binary_downloaded,sha256,review_status,canonical
mfr-src-2026-06-24-001-dell-alienware,Dell Technologies,Alienware; Dell; Dell EMC,https://www.dell.com/,https://www.dell.com/support/home/en-us,https://www.dell.com/support/home/en-us?app=drivers,https://www.dell.com/support/kbdoc/en-us/000133505/manuals-and-documentation-for-your-dell-product,https://www.dell.com/support/security/en-us,https://www.dell.com/support/home/en-us?app=drivers,official_vendor,2026-06-24,"Official Dell/Alienware support, drivers/downloads, manuals/documentation, and security resources exist; exact product/model scoping is required.",No files downloaded. No BIOS/firmware recommendation. Regional and product-specific availability may vary.,Metadata discovery only; no crawling performed.,false,,SOURCE_CONFIRMED,false
mfr-src-2026-06-24-002-sony,Sony,Sony Electronics; Sony Group,https://www.sony.com/,https://www.sony.com/electronics/support,https://www.sony.com/electronics/support/downloads,https://www.sony.com/electronics/support,,https://www.sony.com/electronics/support/downloads,official_vendor,2026-06-24,"Official Sony support and downloads pages exist for drivers, firmware updates, BIOS, and software by model/category.",No files downloaded. Support scope is product/category/region dependent. No security advisory page confirmed in this batch.,Metadata discovery only; no crawling performed.,false,,SOURCE_CONFIRMED,false
mfr-src-2026-06-24-003-samsung,Samsung,Samsung Electronics,https://www.samsung.com/,https://www.samsung.com/us/support/,https://www.samsung.com/us/support/downloads/,https://www.samsung.com/us/support/downloads/,,https://www.samsung.com/us/support/downloads/,official_vendor,2026-06-24,"Official Samsung Manuals & Software page provides owner's manuals, firmware, and software updates by device.",No files downloaded. Region/model scoping required. Security URL not confirmed in this batch.,Metadata discovery only; no crawling performed.,false,,SOURCE_CONFIRMED,false
mfr-src-2026-06-24-004-nokia,Nokia,Nokia Networks,https://www.nokia.com/,https://www.nokia.com/we-are-nokia/security/products/,,,https://www.nokia.com/we-are-nokia/security/product-security-advisory/,,official_vendor,2026-06-24,Official Nokia product security and product security advisory pages exist; customer support handles customers impacted by security issues.,No public generic downloads/manuals portal confirmed in this batch. Enterprise customer support may require customer relationship.,Metadata discovery only; no crawling performed.,false,,SOURCE_CONFIRMED,false
mfr-src-2026-06-24-005-siemens,Siemens,Siemens Industry; Siemens ProductCERT,https://www.siemens.com/,https://sieportal.siemens.com/en-ww/support,https://sieportal.siemens.com/en-ww/support,https://sieportal.siemens.com/en-ww/support,https://cert-portal.siemens.com/,https://sieportal.siemens.com/en-ww/support,official_vendor,2026-06-24,Official Siemens SiePortal support exists and Siemens ProductCERT publishes security advisories.,No files downloaded. Industrial product scope and entitlement can vary by product and region.,Metadata discovery only; no crawling performed.,false,,SOURCE_CONFIRMED,false
mfr-src-2026-06-24-006-toshiba,Toshiba,Toshiba Business Solutions; Toshiba America Business Solutions,https://business.toshiba.com/,https://business.toshiba.com/support-drivers,https://business.toshiba.com/support-drivers,https://business.toshiba.com/support-drivers,,https://business.toshiba.com/support-drivers,official_vendor,2026-06-24,"Official Toshiba business support page provides drivers, MSDS, manuals, and product support by model/product.",No files downloaded. Consumer storage and POS ecosystems may use separate portals; restricted content was not accessed.,Metadata discovery only; no crawling performed.,false,,SOURCE_CONFIRMED,false
mfr-src-2026-06-24-007-panasonic,Panasonic,Panasonic Connect; Panasonic Industry; TOUGHBOOK,https://www.panasonic.com/,https://global-pc-support.connect.panasonic.com/,https://industry.panasonic.com/global/en/downloads,https://industry.panasonic.com/global/en/downloads,,https://global-pc-support.connect.panasonic.com/,official_vendor,2026-06-24,"Official Panasonic/Connect/Industry support and download pages exist for product documentation, manuals, software, and firmware depending on product family.",No files downloaded. Panasonic has multiple product-family portals; exact product family and region required.,Metadata discovery only; no crawling performed.,false,,SOURCE_CONFIRMED,false
mfr-src-2026-06-24-008-sharp,Sharp,Sharp Business USA; Sharp Electronics,https://business.sharpusa.com/,https://business.sharpusa.com/product-downloads,https://business.sharpusa.com/product-downloads,https://business.sharpusa.com/product-downloads,,https://business.sharpusa.com/display-firmware-update-tool,official_vendor,2026-06-24,"Official Sharp Business product downloads include drivers, manuals, software, literature, and product safety documentation; display firmware tool page exists.",No files downloaded. Scope is Sharp Business USA; other regions/product families may differ.,Metadata discovery only; no crawling performed.,false,,SOURCE_CONFIRMED,false
mfr-src-2026-06-24-009-nec,NEC,NEC Corporation,https://www.nec.com/,https://www.nec.com/en/global/support/index.html,https://www.nec.com/en/global/support/index.html,https://www.nec.com/en/global/support/index.html,,,official_vendor,2026-06-24,"Official NEC Support & Downloads page exists for troubleshooting, maintenance, warranty, software, drivers, and brochures.",No files downloaded. Specific servers/peripherals/electron-device scopes must be reviewed separately.,Metadata discovery only; no crawling performed.,false,,SOURCE_CONFIRMED,false
mfr-src-2026-06-24-010-fujitsu,Fujitsu,Fujitsu Technology Solutions; Fsas Technologies,https://www.fujitsu.com/global/,https://www.fujitsu.com/global/support/,https://support.ts.fujitsu.com/IndexDownload.asp?lng=COM,https://www.fujitsu.com/global/support/,,https://support.ts.fujitsu.com/IndexDownload.asp?lng=COM,official_vendor,2026-06-24,"Official Fujitsu support and downloads pages exist for country-specific support and drivers, BIOS versions, and software updates.",No files downloaded. Download portal may be regional/country-specific and exact system/model scoping is required.,Metadata discovery only; no crawling performed.,false,,SOURCE_CONFIRMED,false
